Nom,Auteur,Catégorie,Goldmine
La fin de l’homme rouge,Svetlana Aleksievitch,Roman,"Goldmine ⭐️    "
Gandhi ou l’éveil des humiliés,Jacques Attali,Biograhie,
Les belles images,Simone de Beauvoir,Roman,
99 Francs,Frederic Beigbeder,Roman,"Goldmine ⭐️    "
L'amour dure 3 ans,Frederic Beigbeder,Roman,
"L’égoïste romantique ",Frederic Beigbeder,Roman,
Nouvelles sous ecstasy,Frederic Beigbeder,Roman,
Oona & Salinger,Frederic Beigbeder,Roman,
Un roman français,Frederic Beigbeder,Roman,
Manuel à l’usage des femmes de ménage,Lucia Berlin,Roman,
Propaganda,Edward Bernays,Communication,
Journal d’un vieux déguelasse,Charles Bukowski,Roman,
Nouveaux contes de la folie ordinaire,Charles Bukowski,Roman,
Women,Charles Bukowski,Roman,
Comment se faire des amis,Dale Carnegie,Communication,"Goldmine ⭐️    "
Internet rend-il bête ?,Nicholas Carr,Technologies,
"Voyage au bout de la nuit ",Celine,Roman,
"Influence et Manipulation ",Robert Cialdini,Communication,"Goldmine ⭐️    "
Atomic Habits,James Clear,Développement personnel,
L’alchimiste,Paulo Coelho,Roman,
Manuel du guerrier de la lumière,Paulo Coelho,Roman,
Big data : la révolution des données est en marche,Kenneth Cukier,Technologies,
La révolution matérielle,Jean-Claude Daumas,Société,
Crime et chatiments,Dostoïevski,Roman,
"Tout le monde n'habite pas le monde de la même façon ",Jean-Paul Dubois,Roman,"Goldmine ⭐️    "
American psycho,Bret Easton Ellis,Roman,"Goldmine ⭐️    "
Suites Impériales,Bret Easton Ellis,Roman,
White,Bret Easton Ellis,Roman,
"Moi, Christiane F., 13 ans, droguée, prostituée...",Christiane F.,Biograhie,
"Moi, Christiane F., la vie malgré tout",Christiane F.,Biograhie,
"Les outils des géants ",Tim Ferris,Business,
Gatsby le magnifique,Francis Scott Fitzgerald,Roman,
L’art d’aimer,Erich Fromm,Développement personnel,
Climat : comment éviter un désastre: Les solutions actuelles,Bill Gates,Société,
Les faux-monnayeurs,André Gide,Roman,
Mensonge romantique et vérité romanesque,René Girard,Roman,
Je selfie donc je suis,Elsa Godart,Société,
Power : les 48 lois du pouvoir,Robert Greene,Développement personnel,
Lettre à Ménécée,Epicure,Philosophie,"Goldmine ⭐️    "
Ta deuxième vie commence quand tu comprends que tu n’en as qu’une,Raphaëlle Giordano,Développement personnel,
Bullshit Jobs,David Graeber,Société,
Power,Robert Greene,Développement personnel,
Le story-telling en marketing,Seth Godin,Communication,
No Rules Rules,Reed Hastings,Business,"Goldmine ⭐️    "
Indignez-vous,Stéphane Hessel,Société,
Les leçons du pouvoir,François Hollande,Société,
Anéantir,Michel Houellebecq,Roman,
La carte et le territoire,Michel Houellebecq,Roman,
La plateforme,Michel Houellebecq,Roman,
"La possibilité d’une île
",Michel Houellebecq,Roman,
"Les particules élémentaires
",Michel Houellebecq,Roman,
Soumission,Michel Houellebecq,Roman,
Sérotonine,Michel Houellebecq,Roman,
Psychology of money,Morgan Housel,Développement personnel,
Le meilleur des mondes,Alfred Huxley,Roman,
Steve Jobs,Walter Isaacson,Biograhie,
Les innovateurs,Walter Isaacson,Biograhie,
Île,Siri Ranva Hjelm Jacobsen,Roman,
Hard Things,Ben Horowitz,Business,
La petite femelle,Philippe Jaenada,Roman,
Le Personal MBA,Josh Kaufman,Business,
Show your work,Austin Kleon,Communication,"Goldmine ⭐️    "
L’art de la victoire,Phil Knight,Biograhie,
Le livre des décisions,Mikael Krogerus,Développement personnel,
Pourquoi les crises reviennent toujours ?,Paul Krugman,Société,
"Père riche, père pauvre",Robert Kyutaki,Business,
"L'âge du faire - Hacking, travail, anarchie",Michel Lallement,Société,
L’anomalie,Hervé Le Tellier,Roman,
Think Big,Dr Grace Lordan,Développement personnel,"Goldmine ⭐️    "
Le Prince,Machiavel,Société,
L'Espion et le Traître,Ben Macintyre,Roman,
L'art subtil de s'en foutre,Mark Manson,Développement personnel,
Manuel d’Epictete,Marc-Aurèle,Philosophie,
Pensées pour moi-même,Marc-Aurèle,Philosophie,
De purs hommes,Mohammed Mbouga Sarr,Roman,
La voie,Edgar Morin,Technologies,
Des hommes sans femmes,Haruki Murakami,Roman,
1Q84,Haruki Murakami,Roman,
L’almanack de Naval,Naval Ravikant,Développement personnel,"Goldmine ⭐️    "
Deep work,Cal Newport,Développement personnel,
Non ce n’était pas mieux avant,Johan Norberg,Société,
21 leçons pour le XXIe siècle,Yuval Noah Harari,Société,"Goldmine ⭐️    "
"Homo Deus, Une brève histoire de l'avenir - ",Yuval Noah Harari,Société,
Sapiens : Une brève histoire de l’humanité,Yuval Noah Harari,Société,
Devenir,Michelle Obama,Biograhie,
Algorithmes : la bombe à retardement,Cathy O'Neil,Technologies,
1984,Goerges Orwell,Roman,
La ferme des animaux,Goerges Orwell,Roman,
Le docteur Jivago,Boris Pasternak,Roman,
12 règles pour une vie,Jordan B. Peterson,Développement personnel,
Tout le monde n'a pas eu la chance de rater ses études,Olivier Roland,Business,
L’existentialisme est un humanisme,Jean-Paul Sartre,Philosophie,
Les mains sales,Jean-Paul Sartre,Roman,"Goldmine ⭐️    "
La nausée,Jean-Paul Sartre,Roman,
Mémoires vives,Edward Snowden,Société,
L'Éthique,Spinoza,Philosophie,
L'étrange cas du dr jekyll et de mr. hyde,Robert Louis Stevenson,Roman,
Antifragile,Nassim Taleb,Roman,
Le cygne noir,Nassim Taleb,Société,
Skin in the Game: Hidden Asymmetries in Daily Life,Nassim Taleb,Société,
Murmures à la jeunesse,Christiane Taubira,Société,
Dans les forêts de Sibérie,Sylvain Tesson,Roman,"Goldmine ⭐️    "
Panthère des neiges,Sylvain Tesson,Roman,
Une vie à coucher dehors,Sylvain Tesson,Roman,
De zéro à un,Peter Thiel,Business,
Elon Musk biographie,Ashlee Vance,Biograhie,
Apprenti aventurier,Justin Van Colen,Biograhie,
J’irai cracher sur vos tombes,Boris Vian,Roman,
L’écume des jours,Boris Vian,Roman,
Pourquoi nous dormons,Matthew Walker,Société,
Mindfuck,Christopher Wylie,Société,"Goldmine ⭐️    "
Le portrait de Dorian Grey,Oscar Wilde,Roman,
L’étrange défaite,Marc Bloch,Roman,
Frankenstein,Marry Shelley,Roman,
L'Homme-dé,Luke Rhinehart,Roman,
,,,
Le commencement de l'infini,David Deutsch,Sciences,
Fictions,Jorge Luis Borges,Roman,